"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TT_TU_MN009","13670","201901200000","-1.8","1","7"
"TT_TU_MN009","13670","201901200100","-2.5","1","7"
"TT_TU_MN009","13670","201901200200","-2.5","1","7"
"TT_TU_MN009","13670","201901200300","-3.1","1","7"
"TT_TU_MN009","13670","201901200400","-3.6","1","7"
"TT_TU_MN009","13670","201901200500","-3.7","1","7"
"TT_TU_MN009","13670","201901200600","-4.1","1","7"
"TT_TU_MN009","13670","201901200700","-4.3","1","7"
"TT_TU_MN009","13670","201901200800","-4.4","1","7"
"TT_TU_MN009","13670","201901200900","-2.6","1","7"
"TT_TU_MN009","13670","201901201000","-1.5","1","7"
"TT_TU_MN009","13670","201901201100","0.4","1","7"
"TT_TU_MN009","13670","201901201200","1.4","1","7"
"TT_TU_MN009","13670","201901201300","2.6","1","7"
"TT_TU_MN009","13670","201901201400","2.7","1","7"
"TT_TU_MN009","13670","201901201500","2.2","1","7"
"TT_TU_MN009","13670","201901201600","0.9","1","7"
"TT_TU_MN009","13670","201901201700","-0.9","1","7"
"TT_TU_MN009","13670","201901201800","-0.9","1","7"
"TT_TU_MN009","13670","201901201900","-1","1","7"
"TT_TU_MN009","13670","201901202000","-1.4","1","7"
"TT_TU_MN009","13670","201901202100","-2","1","7"
"TT_TU_MN009","13670","201901202200","-3.8","1","7"
"TT_TU_MN009","13670","201901202300","-4.3","1","7"
"TT_TU_MN009","13670","201901210000","-3.4","1","7"
"TT_TU_MN009","13670","201901210100","-4.3","1","7"
"TT_TU_MN009","13670","201901210200","-5.2","1","7"
"TT_TU_MN009","13670","201901210300","-5.7","1","7"
"TT_TU_MN009","13670","201901210400","-6","1","7"
"TT_TU_MN009","13670","201901210500","-6.1","1","7"
"TT_TU_MN009","13670","201901210600","-5.3","1","7"
"TT_TU_MN009","13670","201901210700","-5.4","1","7"
"TT_TU_MN009","13670","201901210800","-5.3","1","7"
"TT_TU_MN009","13670","201901210900","-3.7","1","7"
"TT_TU_MN009","13670","201901211000","-2.2","1","7"
"TT_TU_MN009","13670","201901211100","-0.6","1","7"
"TT_TU_MN009","13670","201901211200","0.1","1","7"
"TT_TU_MN009","13670","201901211300","1.1","1","7"
"TT_TU_MN009","13670","201901211400","1.4","1","7"
"TT_TU_MN009","13670","201901211500","1.1","1","7"
"TT_TU_MN009","13670","201901211600","0","1","7"
"TT_TU_MN009","13670","201901211700","-0.9","1","7"
"TT_TU_MN009","13670","201901211800","-1.5","1","7"
"TT_TU_MN009","13670","201901211900","-2.1","1","7"
"TT_TU_MN009","13670","201901212000","-2.4","1","7"
"TT_TU_MN009","13670","201901212100","-2.5","1","7"
"TT_TU_MN009","13670","201901212200","-2.2","1","7"
"TT_TU_MN009","13670","201901212300","-2.7","1","7"
"TT_TU_MN009","13670","201901220000","-2.6","1","7"
"TT_TU_MN009","13670","201901220100","-2.5","1","7"
"TT_TU_MN009","13670","201901220200","-2.7","1","7"
"TT_TU_MN009","13670","201901220300","-2.7","1","7"
"TT_TU_MN009","13670","201901220400","-3.1","1","7"
"TT_TU_MN009","13670","201901220500","-3","1","7"
"TT_TU_MN009","13670","201901220600","-2.9","1","7"
"TT_TU_MN009","13670","201901220700","-2.8","1","7"
"TT_TU_MN009","13670","201901220800","-2.4","1","7"
"TT_TU_MN009","13670","201901220900","-1.8","1","7"
"TT_TU_MN009","13670","201901221000","-1","1","7"
"TT_TU_MN009","13670","201901221100","-0.2","1","7"
"TT_TU_MN009","13670","201901221200","-0.3","1","7"
"TT_TU_MN009","13670","201901221300","0.4","1","7"
"TT_TU_MN009","13670","201901221400","0.1","1","7"
"TT_TU_MN009","13670","201901221500","0","1","7"
"TT_TU_MN009","13670","201901221600","-0.9","1","7"
"TT_TU_MN009","13670","201901221700","-1.2","1","7"
"TT_TU_MN009","13670","201901221800","-1.3","1","7"
"TT_TU_MN009","13670","201901221900","-1.7","1","7"
"TT_TU_MN009","13670","201901222000","-1.9","1","7"
"TT_TU_MN009","13670","201901222100","-1.9","1","7"
"TT_TU_MN009","13670","201901222200","-1.8","1","7"
"TT_TU_MN009","13670","201901222300","-1.7","1","7"
"TT_TU_MN009","13670","201901230000","-1.6","1","7"
"TT_TU_MN009","13670","201901230100","-1.6","1","7"
"TT_TU_MN009","13670","201901230200","-1.4","1","7"
"TT_TU_MN009","13670","201901230300","-1.2","1","7"
"TT_TU_MN009","13670","201901230400","-1.1","1","7"
"TT_TU_MN009","13670","201901230500","-1","1","7"
"TT_TU_MN009","13670","201901230600","-0.9","1","7"
"TT_TU_MN009","13670","201901230700","-1.1","1","7"
"TT_TU_MN009","13670","201901230800","-1.2","1","7"
"TT_TU_MN009","13670","201901230900","-1.2","1","7"
"TT_TU_MN009","13670","201901231000","-0.2","1","7"
"TT_TU_MN009","13670","201901231100","0","1","7"
"TT_TU_MN009","13670","201901231200","0.2","1","7"
"TT_TU_MN009","13670","201901231300","-0.2","1","7"
"TT_TU_MN009","13670","201901231400","-0.1","1","7"
"TT_TU_MN009","13670","201901231500","-0.5","1","7"
"TT_TU_MN009","13670","201901231600","-0.7","1","7"
"TT_TU_MN009","13670","201901231700","-1.1","1","7"
"TT_TU_MN009","13670","201901231800","-1.5","1","7"
"TT_TU_MN009","13670","201901231900","-1.6","1","7"
"TT_TU_MN009","13670","201901232000","-1.8","1","7"
"TT_TU_MN009","13670","201901232100","-2.1","1","7"
"TT_TU_MN009","13670","201901232200","-2.2","1","7"
"TT_TU_MN009","13670","201901232300","-2.3","1","7"
"TT_TU_MN009","13670","201901240000","-2.5","1","7"
"TT_TU_MN009","13670","201901240100","-2.6","1","7"
"TT_TU_MN009","13670","201901240200","-2.9","1","7"
"TT_TU_MN009","13670","201901240300","-3.2","1","7"
"TT_TU_MN009","13670","201901240400","-3.3","1","7"
"TT_TU_MN009","13670","201901240500","-3.5","1","7"
"TT_TU_MN009","13670","201901240600","-3.6","1","7"
"TT_TU_MN009","13670","201901240700","-3.7","1","7"
"TT_TU_MN009","13670","201901240800","-3.6","1","7"
"TT_TU_MN009","13670","201901240900","-3.6","1","7"
"TT_TU_MN009","13670","201901241000","-3.3","1","7"
"TT_TU_MN009","13670","201901241100","-3.3","1","7"
