"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"F_MN003","1303","201901200000","3","4","10"
"F_MN003","1303","201901200100","2.8","4","10"
"F_MN003","1303","201901200200","2.4","4","10"
"F_MN003","1303","201901200300","2.2","4","10"
"F_MN003","1303","201901200400","2.3","4","10"
"F_MN003","1303","201901200500","2.5","4","10"
"F_MN003","1303","201901200600","2.1","4","10"
"F_MN003","1303","201901200700","2.1","4","10"
"F_MN003","1303","201901200800","1.8","4","10"
"F_MN003","1303","201901200900","1.8","4","10"
"F_MN003","1303","201901201000","1.5","4","10"
"F_MN003","1303","201901201100","1.3","4","10"
"F_MN003","1303","201901201200","2.1","4","10"
"F_MN003","1303","201901201300","2.5","4","10"
"F_MN003","1303","201901201400","2.2","4","10"
"F_MN003","1303","201901201500","2.5","4","10"
"F_MN003","1303","201901201600","2.4","4","10"
"F_MN003","1303","201901201700","2.8","4","10"
"F_MN003","1303","201901201800","3.2","4","10"
"F_MN003","1303","201901201900","3","4","10"
"F_MN003","1303","201901202000","2.9","4","10"
"F_MN003","1303","201901202100","2.4","4","10"
"F_MN003","1303","201901202200","1.9","4","10"
"F_MN003","1303","201901202300","1.3","4","10"
"F_MN003","1303","201901210000","1.4","4","10"
"F_MN003","1303","201901210100","1.3","4","10"
"F_MN003","1303","201901210200","1.5","4","10"
"F_MN003","1303","201901210300","1.6","4","10"
"F_MN003","1303","201901210400","2.4","4","10"
"F_MN003","1303","201901210500","2.1","4","10"
"F_MN003","1303","201901210600","2","4","10"
"F_MN003","1303","201901210700","2.1","4","10"
"F_MN003","1303","201901210800","2","4","10"
"F_MN003","1303","201901210900","2.2","4","10"
"F_MN003","1303","201901211000","2.5","4","10"
"F_MN003","1303","201901211100","2.6","4","10"
"F_MN003","1303","201901211200","2.8","4","10"
"F_MN003","1303","201901211300","2.8","4","10"
"F_MN003","1303","201901211400","2.6","4","10"
"F_MN003","1303","201901211500","2.2","4","10"
"F_MN003","1303","201901211600","2.2","4","10"
"F_MN003","1303","201901211700","1.7","4","10"
"F_MN003","1303","201901211800","2","4","10"
"F_MN003","1303","201901211900","1.9","4","10"
"F_MN003","1303","201901212000","1.7","4","10"
"F_MN003","1303","201901212100","1.8","4","10"
"F_MN003","1303","201901212200","2.3","4","10"
"F_MN003","1303","201901212300","2.6","4","10"
"F_MN003","1303","201901220000","2.3","4","10"
"F_MN003","1303","201901220100","2.7","4","10"
"F_MN003","1303","201901220200","2.9","4","10"
"F_MN003","1303","201901220300","3.1","4","10"
"F_MN003","1303","201901220400","2.9","4","10"
"F_MN003","1303","201901220500","2.8","4","10"
